round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,271087,304048,1790173021240369647,1790173021240280067,113460,0,0.924299,1,1
1,1,226968,266078,1790173021240672674,1790173021241558450,124836,885776,0.000000,1,0
2,1,190798,204928,1790173021241921944,1790173021241975874,147318,53930,0.834504,1,1
3,1,193818,205428,1790173021242333990,1790173021242395429,135280,61439,0.831139,1,1
4,1,201888,213638,1790173021242747347,1790173021242818473,120272,71126,0.000000,1,0
5,1,180038,191598,1790173021243132703,1790173021243248977,103754,116274,0.000000,1,0
6,1,162019,172989,1790173021243528460,1790173021243684842,114555,156382,0.000000,1,0
7,1,169169,180878,1790173021243981946,1790173021244121776,104277,139830,0.000000,1,0
8,1,161380,172270,1790173021244401293,1790173021244569220,105320,167927,0.000000,1,0
9,1,159739,170929,1790173021244847139,1790173021245008514,113522,161375,0.763871,1,1
10,1,171828,184708,1790173021245308014,1790173021245437098,105334,129084,0.000000,1,0
11,1,165439,176319,1790173021245721421,1790173021245860733,104646,139312,0.780300,1,1
12,1,153009,164539,1790173021246132247,1790173021246283667,102578,151420,0.000000,1,0
13,1,146428,157148,1790173021246545573,1790173021247473391,104454,927818,0.000000,1,0
14,1,147028,157908,1790173021247738513,1790173021247897626,101555,159113,0.000000,1,0
15,1,151449,162739,1790173021248163650,1790173021248323070,101377,159420,0.000000,1,0
16,1,152579,163609,1790173021248590106,1790173021248752285,101168,162179,0.000000,1,0
17,1,148129,159669,1790173021249014612,1790173021249184149,104340,169537,0.000000,1,0
18,1,152249,167849,1790173021249463618,1790173021249612253,104773,148635,0.771123,1,1
19,1,146319,161599,1790173021249880724,1790173021250049177,104135,168453,0.000000,1,0
20,1,148810,164490,1790173021250320361,1790173021250480942,102327,160581,0.763909,1,1
21,1,144928,160448,1790173021250746037,1790173021250912466,106119,166429,0.000000,1,0
22,2,317817,163169,1790173021251353592,1790173021251340480,116161,0,0.000000,1,0
23,1,144628,160248,1790173021251622059,1790173021251765515,104732,143456,0.778492,1,1
24,1,143339,157858,1790173021252031326,1790173021252203339,104784,172013,0.756656,1,1
25,1,154079,169318,1790173021252481312,1790173021252634743,103686,153431,0.768544,1,1
26,1,147289,161869,1790173021252903298,1790173021253065667,107478,162369,0.000000,1,0
27,1,149690,165570,1790173021253341655,1790173021253496342,105470,154687,0.000000,1,0
28,2,361277,158309,1790173021253980749,1790173021253928896,117172,0,0.000000,1,0
29,1,155559,170719,1790173021254218767,1790173021254359190,103255,140423,0.000000,1,0
30,1,144158,158628,1790173021254624263,1790173021254793305,103476,169042,0.759126,1,1
31,1,142228,161528,1790173021255055629,1790173021255225169,104278,169540,0.758709,1,1
32,1,146578,161168,1790173021255493545,1790173021255654773,103970,161228,0.000000,1,0
33,2,301397,155819,1790173021256082380,1790173021256084107,105792,1727,0.000000,1,0
34,1,145590,160780,1790173021256352369,1790173021256511742,102504,159373,0.000000,1,0
35,1,143479,158319,1790173021256774775,1790173021256938806,105807,164031,0.762780,1,1
36,1,157839,173359,1790173021257219121,1790173021257370590,105309,151469,0.000000,1,0
37,1,144058,158688,1790173021257637497,1790173021258587784,106264,950287,0.347352,1,1
38,1,159668,174628,1790173021258871976,1790173021259020909,106955,148933,0.760365,1,1
39,1,149899,164789,1790173021259295213,1790173021259449723,105418,154510,0.768544,1,1
40,1,147288,162008,1790173021259720389,1790173021259878017,105700,157628,0.000000,1,0
41,1,154958,170288,1790173021260156195,1790173021261075521,112525,919326,0.000000,1,0
42,1,148419,163098,1790173021261355965,1790173021261503756,105286,147791,0.000000,1,0
43,1,143899,158479,1790173021261770171,1790173021261936770,103598,166599,0.000000,1,0
44,1,156379,172869,1790173021262213347,1790173021262363834,104192,150487,0.000000,1,0
45,1,144159,159449,1790173021262629444,1790173021262772739,104093,143295,0.000000,1,0
46,1,143188,158728,1790173021263037750,1790173021263204043,103985,166293,0.000000,1,0
47,1,147378,162728,1790173021263473936,1790173021263634268,105926,160332,0.764107,1,1
48,1,146389,161168,1790173021263904933,1790173021264069012,107748,164079,0.760684,1,1
49,1,147159,162548,1790173021264342059,1790173021264497586,105450,155527,0.767462,1,1
50,1,145029,160129,1790173021264765325,1790173021264935760,102952,170435,0.000000,1,0
51,1,149779,164849,1790173021265205521,1790173021265356715,103734,151194,0.000000,1,0
52,1,143949,158649,1790173021265621648,1790173021265783839,103317,162191,0.000000,1,0
53,1,142909,157519,1790173021266047944,1790173021266210703,107009,162759,0.000000,1,0
54,1,155969,170859,1790173021266493440,1790173021266641138,104720,147698,0.767093,1,1
55,1,142398,157768,1790173021266904896,1790173021267077752,106872,172856,0.000000,1,0
56,1,146838,161398,1790173021267349442,1790173021267502626,103364,153184,0.000000,1,0
57,1,141349,155948,1790173021267764019,1790173021267924271,107385,160252,0.000000,1,0
58,1,146219,163648,1790173021268195325,1790173021268728800,104520,533475,0.000000,1,0
59,1,148028,163118,1790173021268998948,1790173021269154505,112881,155557,0.765430,1,1
60,1,147088,161638,1790173021269432254,1790173021269577269,104343,145015,0.775531,1,1
61,1,139259,153899,1790173021269837401,1790173021269998493,110935,161092,0.000000,1,0
62,1,148739,163399,1790173021270276527,1790173021270421768,105097,145241,0.000000,1,0
63,1,143119,157779,1790173021270686513,1790173021271228637,106721,542124,0.000000,1,0
64,1,147159,161809,1790173021271500697,1790173021271649192,103952,148495,0.000000,1,0
65,1,146019,160559,1790173021271916713,1790173021272076396,107155,159683,0.000000,1,0
66,1,146519,161359,1790173021272349119,1790173021272502550,103447,153431,0.000000,1,0
67,1,142338,156888,1790173021272764915,1790173021273313090,105189,548175,0.000000,1,0
68,1,152799,168399,1790173021273592178,1790173021273738514,104741,146336,0.774253,1,1
69,1,143889,159139,1790173021274004824,1790173021274166328,106745,161504,0.764032,1,1
70,1,146639,161059,1790173021274438311,1790173021274590953,120266,152642,0.769721,1,1
71,1,144019,158949,1790173021274872177,1790173021275020167,104808,147990,0.000000,1,0
72,1,150418,166668,1790173021275294053,1790173021275437981,104210,143928,0.000000,1,0
73,1,144209,158658,1790173021275703360,1790173021275859816,105851,156456,0.000000,1,0
74,1,153059,168639,1790173021276135356,1790173021276284890,103923,149534,0.769668,1,1
75,1,148009,162449,1790173021276554932,1790173021276709845,103045,154913,0.768060,1,1
76,1,144729,159249,1790173021276974278,1790173021277136529,103347,162251,0.000000,1,0
77,1,147689,163849,1790173021277414705,1790173021277565543,103100,150838,0.771625,1,1
78,1,142988,157618,1790173021277828401,1790173021277988408,102921,160007,0.000000,1,0
79,1,149018,164078,1790173021278258077,1790173021278410432,106513,152355,0.000000,1,0
80,1,144939,159679,1790173021278679354,1790173021278835846,104455,156492,0.000000,1,0
81,2,313787,161928,1790173021279270798,1790173021279258431,101096,0,0.000000,1,0
82,1,142149,157539,1790173021279518606,1790173021279678445,103619,159839,0.000000,1,0
83,1,143018,157408,1790173021279941702,1790173021280106750,104950,165048,0.000000,1,0
84,1,150099,165009,1790173021280379269,1790173021280539264,103463,159995,0.763901,1,1
85,1,146948,161398,1790173021280806795,1790173021280973808,107045,167013,0.759180,1,1
86,1,150678,166318,1790173021281251481,1790173021281401292,115327,149811,0.000000,1,0
87,1,143828,158698,1790173021281677797,1790173021281835197,104658,157400,0.000000,1,0
88,1,147369,162408,1790173021282103964,1790173021282264781,104160,160817,0.762017,1,1
89,1,149899,164379,1790173021282535720,1790173021282672356,103962,136636,0.000000,1,0
90,1,142169,156019,1790173021282935066,1790173021283486355,108136,551289,0.000000,1,0
91,1,148079,163808,1790173021283761970,1790173021283912849,105898,150879,0.000000,1,0
92,3,471856,155509,1790173021284508043,1790173021284421663,150569,0,0.000000,1,0
93,1,144089,159699,1790173021284735151,1790173021284816477,106632,81326,0.827897,1,1
94,2,308527,164489,1790173021285249166,1790173021285243512,102623,0,0.900722,1,1
95,2,305267,159648,1790173021285669542,1790173021285667826,103285,0,0.000000,1,0
96,1,145499,160049,1790173021285934770,1790173021286098780,103878,164010,0.000000,1,0
97,1,144290,159630,1790173021286364807,1790173021286527615,107140,162808,0.000000,1,0
98,1,144908,159898,1790173021286796823,1790173021286954299,104382,157476,0.000000,1,0
99,1,151868,166658,1790173021287235049,1790173021287394653,101374,159604,0.000000,1,0
100,1,144589,159118,1790173021287657446,1790173021287823867,104476,166421,0.000000,1,0
101,2,315487,161528,1790173021288261030,1790173021288251452,112147,0,0.000000,1,0
102,1,143189,157749,1790173021288523868,1790173021288674836,107010,150968,0.000000,1,0
103,1,142249,157609,1790173021288941164,1790173021289107021,106331,165857,0.000000,1,0
104,1,147919,162639,1790173021289379141,1790173021289536445,103714,157304,0.000000,1,0
105,1,144718,159258,1790173021289801967,1790173021289964019,110306,162052,0.000000,1,0
106,1,148948,164538,1790173021290241963,1790173021290392384,104207,150421,0.000000,1,0
107,1,144129,158688,1790173021290657180,1790173021290818898,104889,161718,0.000000,1,0
108,1,144279,160029,1790173021291084796,1790173021291247882,106801,163086,0.000000,1,0
109,1,146369,160999,1790173021291518372,1790173021291676337,104282,157965,0.000000,1,0
110,1,151569,166329,1790173021291949188,1790173021292117121,108024,167933,0.000000,1,0
111,1,147790,162510,1790173021292392065,1790173021292546465,104788,154400,0.000000,1,0
112,1,144279,159139,1790173021292812551,1790173021292976039,105480,163488,0.000000,1,0
113,1,149799,165049,1790173021293250117,1790173021293401434,102631,151317,0.000000,1,0
114,1,143998,158548,1790173021293665153,1790173021293829578,104563,164425,0.000000,1,0
115,1,148578,165538,1790173021294099659,1790173021294262912,105225,163253,0.000000,1,0
116,1,146678,161178,1790173021294533145,1790173021295078082,108688,544937,0.000000,1,0
117,1,159920,175240,1790173021295365679,1790173021295507006,104081,141327,0.769267,1,1
118,1,145908,161388,1790173021295777155,1790173021296710250,111556,933095,0.353043,1,1
119,1,146648,161288,1790173021296986784,1790173021297147564,106988,160780,0.763184,1,1
120,1,148858,164338,1790173021297422590,1790173021297575108,105420,152518,0.769423,1,1
121,1,145639,160358,1790173021297844107,1790173021298008493,118781,164386,0.000000,1,0
122,1,149750,165339,1790173021298295134,1790173021298443327,103014,148193,0.000000,1,0
123,1,143619,158239,1790173021298706640,1790173021298871521,102876,164881,0.000000,1,0
124,1,147569,163469,1790173021299138696,1790173021299299396,105038,160700,0.000000,1,0
125,1,146849,161269,1790173021299569492,1790173021299726040,104570,156548,0.000000,1,0
126,1,147768,162218,1790173021299995088,1790173021300155334,105922,160246,0.765416,1,1
127,1,147748,162678,1790173021300427214,1790173021300586449,104533,159235,0.000000,1,0
128,1,145389,160009,1790173021300852821,1790173021301011293,111995,158472,0.000000,1,0
129,1,149240,164010,1790173021301290578,1790173021301443677,104648,153099,0.000000,1,0
130,1,140539,155079,1790173021301706064,1790173021301872892,102830,166828,0.000000,1,0
131,1,151039,166149,1790173021302143350,1790173021302298866,104132,155516,0.000000,1,0
132,2,298727,153029,1790173021302718345,1790173021302721390,101844,3045,0.895460,1,1
133,1,147758,162398,1790173021302987542,1790173021303154255,107995,166713,0.752995,1,1
134,1,144628,159328,1790173021303424498,1790173021303576679,104577,152181,0.000000,1,0
135,1,141189,155719,1790173021303839615,1790173021304003253,108319,163638,0.000000,1,0
136,2,295458,151198,1790173021304427770,1790173021304426308,102011,0,0.900758,1,1
137,1,136899,151979,1790173021304681858,1790173021304858872,104113,177014,0.000000,1,0
138,1,151389,167649,1790173021305129864,1790173021305286666,104826,156802,0.000000,1,0
139,1,143499,154489,1790173021305552440,1790173021305711331,105897,158891,0.000000,1,0
140,1,144168,154918,1790173021305974956,1790173021306140715,103979,165759,0.000000,1,0
141,1,143548,154438,1790173021306401372,1790173021306949504,105743,548132,0.518420,1,1
142,1,149509,160829,1790173021307224975,1790173021307371429,104635,146454,0.000000,1,0
143,1,140728,151728,1790173021307629522,1790173021307805263,105247,175741,0.753598,1,1
144,1,138398,153058,1790173021308062188,1790173021308229467,106559,167279,0.000000,1,0
145,2,303167,155259,1790173021308652703,1790173021309041937,106482,389234,0.000000,1,0
146,1,145829,162949,1790173021309307457,1790173021309853076,104055,545619,0.000000,1,0
147,1,151879,167839,1790173021310128100,1790173021310276550,102708,148450,0.000000,1,0
148,1,141019,155829,1790173021310538157,1790173021310699665,115079,161508,0.000000,1,0
149,1,145449,160539,1790173021310977223,1790173021311128639,104352,151416,0.000000,1,0
150,1,141229,155989,1790173021311395029,1790173021311556823,102964,161794,0.000000,1,0
151,2,294947,154139,1790173021311971354,1790173021311981508,104025,10154,0.000000,1,0
152,1,145898,160518,1790173021312249181,1790173021312403192,105307,154011,0.769529,1,1
153,1,140389,154799,1790173021312665678,1790173021312835067,104348,169389,0.757360,1,1
154,1,150529,166239,1790173021313107104,1790173021313262131,104571,155027,0.764704,1,1
155,1,142009,156699,1790173021313526631,1790173021313685295,103024,158664,0.766695,1,1
156,1,145159,159659,1790173021313950297,1790173021314110840,107115,160543,0.765790,1,1
