round,gen_attempts,t_gen_total_ns,gen_rtt_ns,ts_gen_success_ns,ts_swap_ns,swap_to_recv_ns,t_exp_ns,werner,pgen_success_bit,pswap_success_bit
0,1,580150,600189,1790172691663862057,1790172691663761125,283155,0,0.000000,1,0
1,1,413727,427197,1790172691664479537,1790172691664214849,264768,0,0.000000,1,0
2,1,443617,462878,1790172691664948044,1790172691664688553,272702,0,0.779442,1,1
3,1,419487,430747,1790172691665396282,1790172691665140937,275115,0,0.000000,1,0
4,1,389936,400977,1790172691665812558,1790172691665553541,282638,0,0.812227,1,1
5,1,387366,402287,1790172691666236315,1790172691665973986,262539,0,0.000000,1,0
6,1,386426,398926,1790172691666646392,1790172691666385610,260852,0,0.000000,1,0
7,3,1175159,395177,1790172691667842251,1790172691667583635,258706,0,0.351468,1,1
8,1,379226,387356,1790172691668254078,1790172691667998019,299970,0,0.000000,1,0
9,1,389146,397766,1790172691668696775,1790172691668431753,265112,0,0.744081,1,1
10,1,391697,400357,1790172691669106672,1790172691668836418,270344,0,0.000000,1,0
11,1,368716,376166,1790172691669493048,1790172691669234953,258165,0,0.000000,1,0
12,1,370186,378006,1790172691669879264,1790172691669618088,261256,0,0.000000,1,0
13,1,365466,372516,1790172691670261021,1790172691670001893,259198,0,0.000000,1,0
14,1,366416,373646,1790172691670642537,1790172691670384848,257749,0,0.783561,1,1
15,1,364726,372066,1790172691671022303,1790172691670764592,257791,0,0.784511,1,1
16,1,364666,372966,1790172691671402549,1790172691671142917,259712,0,0.784472,1,1
17,3,1111378,377316,1790172691672530137,1790172691672269953,260284,0,0.000000,1,0
18,1,375766,384636,1790172691672924864,1790172691672662657,262277,0,0.000000,1,0
19,1,366576,376856,1790172691673309020,1790172691673050782,258318,0,0.000000,1,0
20,1,371486,379476,1790172691673698946,1790172691673441067,301480,0,0.000000,1,0
21,1,373206,384166,1790172691674124813,1790172691673862611,262472,0,0.758884,1,1
22,1,371716,381046,1790172691674516330,1790172691674255736,260664,0,0.000000,1,0
23,1,368856,377866,1790172691674902886,1790172691674643401,259675,0,0.000000,1,0
24,1,371096,379886,1790172691675298402,1790172691675037576,260996,0,0.000000,1,0
25,1,368355,380736,1790172691675684518,1790172691675425110,259478,0,0.782661,1,1
26,1,374936,382606,1790172691676079835,1790172691675813425,266480,0,0.000000,1,0
27,1,377996,386656,1790172691676474461,1790172691676212150,262391,0,0.000000,1,0
28,1,375896,384356,1790172691676867978,1790172691676601945,266103,0,0.784125,1,1
29,1,366506,373756,1790172691677251954,1790172691676994070,257944,0,0.000000,1,0
30,1,366266,374056,1790172691677633630,1790172691677376015,257685,0,0.000000,1,0
31,1,364526,372496,1790172691678014376,1790172691677756059,258387,0,0.783993,1,1
32,1,362465,371416,1790172691678393292,1790172691678136004,257348,0,0.000000,1,0
33,1,366056,374826,1790172691678776789,1790172691678518009,258870,0,0.000000,1,0
34,1,362536,369776,1790172691679156225,1790172691678900844,299091,0,0.000000,1,0
35,1,365516,373596,1790172691679574482,1790172691679317159,257403,0,0.757807,1,1
36,2,739332,392256,1790172691680330374,1790172691680073449,256985,0,0.000000,1,0
37,2,747952,379276,1790172691681113316,1790172691680855118,258268,0,0.000000,1,0
38,1,371956,383306,1790172691681505593,1790172691681245113,260550,0,0.000000,1,0
39,1,362676,373536,1790172691681887739,1790172691681630068,301172,0,0.000000,1,0
40,1,365136,376466,1790172691682309626,1790172691682050973,258723,0,0.757375,1,1
41,1,369996,382126,1790172691682699652,1790172691682438188,261534,0,0.785695,1,1
42,1,379716,391016,1790172691683100079,1790172691682828302,271857,0,0.000000,1,0
43,1,368846,380256,1790172691683488375,1790172691683228917,259528,0,0.772644,1,1
44,1,365086,377736,1790172691683872951,1790172691683614262,298910,0,0.000000,1,0
45,1,363216,375596,1790172691684289558,1790172691684032076,257552,0,0.000000,1,0
46,2,765483,389406,1790172691685075761,1790172691684816736,259095,0,0.000000,1,0
47,1,367186,379366,1790172691685463177,1790172691685204531,258716,0,0.000000,1,0
48,2,753583,378406,1790172691686237330,1790172691685977511,259889,0,0.000000,1,0
49,1,369056,380166,1790172691686626386,1790172691686367116,259350,0,0.779271,1,1
50,1,368496,379586,1790172691687014102,1790172691686753400,260772,0,0.000000,1,0
51,1,366196,377867,1790172691687399568,1790172691687141165,258473,0,0.000000,1,0
52,1,366966,377696,1790172691687786225,1790172691687529340,301025,0,0.000000,1,0
53,1,365166,376466,1790172691688208822,1790172691687950615,258277,0,0.752769,1,1
54,1,367606,379116,1790172691688596018,1790172691688337009,259079,0,0.000000,1,0
55,1,367956,379466,1790172691688987974,1790172691688728364,259680,0,0.000000,1,0
56,1,382857,394407,1790172691689390751,1790172691689126049,264772,0,0.000000,1,0
57,1,366026,377186,1790172691689777477,1790172691689519304,258243,0,0.776051,1,1
58,2,745652,378487,1790172691690542719,1790172691690284954,257825,0,0.534479,1,1
59,1,365086,376676,1790172691690927436,1790172691690669129,258377,0,0.789301,1,1
60,1,362936,374076,1790172691691310292,1790172691691053454,256908,0,0.000000,1,0
61,1,369036,380156,1790172691691698628,1790172691691437418,261280,0,0.000000,1,0
62,1,365316,376667,1790172691692083574,1790172691691825323,258321,0,0.779544,1,1
63,1,370956,382276,1790172691692473991,1790172691692213828,260233,0,0.782378,1,1
64,1,366326,377476,1790172691692859777,1790172691692601303,258544,0,0.000000,1,0
65,1,364626,375686,1790172691693244533,1790172691692987348,257255,0,0.000000,1,0
66,1,369736,380987,1790172691693633579,1790172691693374513,259136,0,0.000000,1,0
67,1,368106,379516,1790172691694021086,1790172691693763598,257558,0,0.000000,1,0
68,1,363306,374286,1790172691694404012,1790172691694146593,257489,0,0.000000,1,0
69,1,367256,378356,1790172691694790398,1790172691694531578,258900,0,0.782942,1,1
70,1,365655,377216,1790172691695175104,1790172691694916942,258232,0,0.781801,1,1
71,1,369576,380766,1790172691695564321,1790172691695305077,259314,0,0.000000,1,0
72,1,364716,376196,1790172691695952117,1790172691695693822,258365,0,0.000000,1,0
73,1,362146,375116,1790172691696333893,1790172691696077497,256466,0,0.000000,1,0
74,1,371986,383636,1790172691696727760,1790172691696464312,263538,0,0.782151,1,1
75,1,366096,377196,1790172691697113996,1790172691696855767,258299,0,0.000000,1,0
76,2,744692,378566,1790172691697877918,1790172691697618737,259261,0,0.536788,1,1
77,1,363916,375186,1790172691698262715,1790172691698005462,257323,0,0.000000,1,0
78,1,369026,380256,1790172691698651601,1790172691698391926,259745,0,0.000000,1,0
79,1,367016,378266,1790172691699037967,1790172691698777631,260406,0,0.000000,1,0
80,1,361756,372846,1790172691699419013,1790172691699162686,256397,0,0.000000,1,0
81,2,740952,377766,1790172691700179196,1790172691699921996,257280,0,0.000000,1,0
82,1,367576,378716,1790172691700567602,1790172691700308471,259211,0,0.000000,1,0
83,1,365136,375856,1790172691700951968,1790172691700694876,299893,0,0.783749,1,1
84,1,366636,377786,1790172691701374125,1790172691701115350,258845,0,0.000000,1,0
85,1,366316,376966,1790172691701759731,1790172691701501955,300577,0,0.000000,1,0
86,1,361836,373306,1790172691702177148,1790172691701920740,256468,0,0.877570,1,1
87,2,740632,375787,1790172691702940760,1790172691702681179,259661,0,0.536805,1,1
88,1,363126,373846,1790172691703323797,1790172691703067044,302093,0,0.000000,1,0
89,1,365545,376636,1790172691703748013,1790172691703491359,303045,0,0.000000,1,0
90,1,364536,376137,1790172691704172030,1790172691703914423,257687,0,0.000000,1,0
91,1,367146,378836,1790172691704559207,1790172691704301688,257589,0,0.000000,1,0
92,1,364856,376356,1790172691704944413,1790172691704685673,258810,0,0.786166,1,1
93,1,370116,381116,1790172691705336119,1790172691705077287,258902,0,0.000000,1,0
94,1,366405,377476,1790172691705722885,1790172691705464772,258193,0,0.782254,1,1
95,1,362806,373906,1790172691706105232,1790172691705847697,257605,0,0.000000,1,0
96,1,374266,385236,1790172691706498648,1790172691706238452,260266,0,0.000000,1,0
97,1,365336,376246,1790172691706883674,1790172691706625817,257917,0,0.781401,1,1
98,1,363185,374306,1790172691707266460,1790172691707009482,257048,0,0.000000,1,0
99,1,377416,388356,1790172691707663537,1790172691707398307,265300,0,0.000000,1,0
100,1,373226,384716,1790172691708055723,1790172691707794162,261631,0,0.000000,1,0
101,1,370126,381196,1790172691708445340,1790172691708187196,301414,0,0.000000,1,0
102,1,364755,375296,1790172691708866166,1790172691708609101,298926,0,0.000000,1,0
103,1,362546,373816,1790172691709283253,1790172691709026085,257238,0,0.000000,1,0
104,1,365935,377476,1790172691709671959,1790172691709415100,302540,0,0.000000,1,0
105,2,744023,380806,1790172691710474733,1790172691710214660,260243,0,0.000000,1,0
106,1,366286,378226,1790172691710861959,1790172691710602884,259155,0,0.000000,1,0
107,1,365176,376216,1790172691711248345,1790172691710989719,258706,0,0.000000,1,0
108,1,373396,385027,1790172691711640901,1790172691711381134,259837,0,0.778087,1,1
109,1,364186,375826,1790172691712026098,1790172691711768479,257689,0,0.000000,1,0
110,1,363386,374586,1790172691712409334,1790172691712151774,257630,0,0.786630,1,1
111,1,367346,378466,1790172691712795990,1790172691712537929,258131,0,0.000000,1,0
112,1,364676,375837,1790172691713180246,1790172691712922164,258152,0,0.000000,1,0
113,1,364066,375346,1790172691713563783,1790172691713307849,300584,0,0.000000,1,0
114,3,1118598,378566,1790172691714740402,1790172691714482453,258019,0,0.000000,1,0
115,1,364896,375956,1790172691715125528,1790172691714868048,257560,0,0.000000,1,0
116,1,366116,377186,1790172691715510824,1790172691715251933,258971,0,0.784705,1,1
117,1,367896,379557,1790172691715897850,1790172691715637668,260252,0,0.000000,1,0
118,1,363176,374816,1790172691716281167,1790172691716023723,257514,0,0.000000,1,0
119,1,369336,381126,1790172691716673593,1790172691716413107,260556,0,0.778960,1,1
120,1,375946,386837,1790172691717074039,1790172691716817042,301658,0,0.000000,1,0
121,1,371696,383257,1790172691717503976,1790172691717239617,264459,0,0.000000,1,0
122,1,366996,378966,1790172691717891013,1790172691717631451,259632,0,0.000000,1,0
123,1,364936,376486,1790172691718278329,1790172691718020876,257523,0,0.000000,1,0
124,2,749342,381927,1790172691719047281,1790172691718789916,257425,0,0.531909,1,1
125,1,363216,373456,1790172691719430258,1790172691719173171,301727,0,0.000000,1,0
126,1,374216,385856,1790172691719861645,1790172691719601225,260500,0,0.000000,1,0
127,1,363116,373526,1790172691720244881,1790172691719988610,300232,0,0.000000,1,0
128,1,367196,378376,1790172691720669088,1790172691720410415,258743,0,0.000000,1,0
129,1,372146,383986,1790172691721064864,1790172691720806549,258395,0,0.000000,1,0
130,1,367885,378656,1790172691721452660,1790172691721194904,301147,0,0.000000,1,0
131,1,368166,379327,1790172691721877227,1790172691721616309,260988,0,0.000000,1,0
132,1,364126,375246,1790172691722261614,1790172691722004683,257001,0,0.000000,1,0
133,1,366326,377376,1790172691722647120,1790172691722388228,258962,0,0.000000,1,0
134,1,365986,377636,1790172691723032516,1790172691722772963,259623,0,0.000000,1,0
135,1,365116,376257,1790172691723417952,1790172691723160288,257724,0,0.000000,1,0
136,2,739732,375746,1790172691724181235,1790172691723923778,257527,0,0.540018,1,1
137,1,368186,379556,1790172691724571331,1790172691724310103,261298,0,0.783404,1,1
138,1,366406,377866,1790172691724957167,1790172691724696508,260729,0,0.000000,1,0
139,1,363976,375356,1790172691725340644,1790172691725083963,256751,0,0.000000,1,0
140,1,363506,374946,1790172691725723590,1790172691725465948,257712,0,0.000000,1,0
141,1,363326,374426,1790172691726106656,1790172691725849832,300345,0,0.783241,1,1
142,1,367866,379186,1790172691726530693,1790172691726271907,258866,0,0.000000,1,0
143,1,364386,375726,1790172691726914869,1790172691726656642,258297,0,0.782621,1,1
144,1,364236,375456,1790172691727298535,1790172691727041177,257428,0,0.785428,1,1
145,1,367196,382326,1790172691727685172,1790172691727426991,258251,0,0.783742,1,1
146,1,364376,375906,1790172691728072798,1790172691727814356,258512,0,0.898474,1,1
147,1,368186,379636,1790172691728460544,1790172691728201471,259153,0,0.000000,1,0
148,1,366146,377257,1790172691728846430,1790172691728588096,258404,0,0.000000,1,0
149,1,365076,376116,1790172691729230877,1790172691728973491,257466,0,0.000000,1,0
150,1,365696,376076,1790172691729615513,1790172691729359196,300358,0,0.785090,1,1
151,1,367616,378546,1790172691730043380,1790172691729796140,287070,0,0.000000,1,0
152,1,361325,372536,1790172691730457106,1790172691730203025,254151,0,0.000000,1,0
153,1,368246,379786,1790172691730845073,1790172691730584729,260414,0,0.786105,1,1
154,1,369136,380416,1790172691731234029,1790172691730971314,262795,0,0.000000,1,0
155,1,372786,383997,1790172691731629805,1790172691731371129,258746,0,0.000000,1,0
156,1,364816,376046,1790172691732013912,1790172691731757084,256908,0,0.000000,1,0
157,1,364446,375726,1790172691732397578,1790172691732139449,258199,0,0.000000,1,0
158,1,366986,378226,1790172691732783794,1790172691732524924,258940,0,0.000000,1,0
159,1,365215,376326,1790172691733168490,1790172691732910559,258001,0,0.000000,1,0
160,1,367286,378526,1790172691733554887,1790172691733296374,258583,0,0.000000,1,0
161,1,363656,374956,1790172691733937773,1790172691733680699,257144,0,0.000000,1,0
162,1,360236,371066,1790172691734317689,1790172691734112413,260367,0,0.000000,1,0
163,1,365356,376396,1790172691734750756,1790172691734492788,258038,0,0.828194,1,1
164,1,365356,376446,1790172691735135062,1790172691734875803,259329,0,0.000000,1,0
165,1,368006,379866,1790172691735522089,1790172691735262728,259431,0,0.937424,1,1
166,1,370926,383986,1790172691735912965,1790172691735652032,261003,0,0.781035,1,1
167,1,365146,377916,1790172691736303501,1790172691736044217,259354,0,0.000000,1,0
168,3,1133348,382366,1790172691737457910,1790172691737197522,260458,0,0.000000,1,0
169,1,376816,388547,1790172691737855636,1790172691737587757,267969,0,0.000000,1,0
170,1,369826,381216,1790172691738245483,1790172691737982192,263351,0,0.000000,1,0
171,1,369176,380496,1790172691738634279,1790172691738374016,260343,0,0.776960,1,1
172,1,366516,377946,1790172691739020495,1790172691738761361,259204,0,0.000000,1,0
173,1,374236,385426,1790172691739414792,1790172691739155396,259466,0,0.000000,1,0
174,1,366866,378726,1790172691739801038,1790172691739541741,259367,0,0.000000,1,0
175,1,359516,370576,1790172691740180724,1790172691739927036,298059,0,0.777185,1,1
176,1,367786,376156,1790172691740601691,1790172691740342940,258831,0,0.000000,1,0
177,2,735312,371436,1790172691741354033,1790172691741097590,256623,0,0.000000,1,0
178,1,365966,372916,1790172691741736909,1790172691741478135,300375,0,0.000000,1,0
179,1,362816,370356,1790172691742150426,1790172691741894120,256386,0,0.000000,1,0
180,2,737712,373506,1790172691742903608,1790172691742643780,259908,0,0.633894,1,1
181,1,358315,366705,1790172691743277764,1790172691743023595,254239,0,0.000000,1,0
182,1,370266,377446,1790172691743668521,1790172691743410120,258471,0,0.000000,1,0
183,2,736492,369506,1790172691744420933,1790172691744164450,256553,0,0.000000,1,0
184,1,364486,371746,1790172691744801519,1790172691744544305,257284,0,0.000000,1,0
185,1,361586,368396,1790172691745178385,1790172691744921310,296636,0,0.000000,1,0
186,1,361606,368746,1790172691745588292,1790172691745333354,255018,0,0.759849,1,1
187,1,360596,367366,1790172691745963908,1790172691745708309,300060,0,0.000000,1,0
188,1,362736,369876,1790172691746379745,1790172691746123414,256401,0,0.000000,1,0
189,1,366846,374306,1790172691746761801,1790172691746502759,259122,0,0.000000,1,0
190,1,363246,369856,1790172691747140607,1790172691746884684,301264,0,0.000000,1,0
191,2,741242,376256,1790172691747935770,1790172691747673793,262057,0,0.523085,1,1
192,1,364606,372816,1790172691748315666,1790172691748057428,258308,0,0.787866,1,1
193,1,367726,376307,1790172691748710312,1790172691748454153,300020,0,0.000000,1,0
194,1,367966,375636,1790172691749131199,1790172691748872027,259252,0,0.000000,1,0
195,1,367326,374657,1790172691749514295,1790172691749255812,258553,0,0.000000,1,0
196,1,366756,375796,1790172691749896222,1790172691749638147,300285,0,0.000000,1,0
197,1,363416,372996,1790172691750310618,1790172691750054292,256386,0,0.758982,1,1
198,1,370226,377766,1790172691750703995,1790172691750442657,261418,0,0.782957,1,1
199,1,370286,378056,1790172691751097861,1790172691750837961,259980,0,0.000000,1,0
