round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997591487784954,0.973071,0.996408,0.000000,0
1,1789997591488053422,0.979985,0.996973,0.977018,1
2,1789997591488368112,0.884274,0.985167,0.871158,1
3,1789997591488651831,0.984905,0.997123,0.982072,1
4,1789997591488881751,0.977393,0.996544,0.974016,1
5,1789997591489053904,0.986802,0.997598,0.984431,1
6,1789997591489227846,0.989565,0.997492,0.000000,0
7,1789997591489432425,0.983000,0.997158,0.980207,1
8,1789997591489653675,0.984854,0.997211,0.982107,1
9,1789997591489850903,0.986080,0.997271,0.000000,0
10,1789997591490083029,0.917071,0.992214,0.000000,0
11,1789997591490245073,0.986566,0.997538,0.984137,1
12,1789997591490404237,0.986318,0.997293,0.000000,0
13,1789997591490601347,0.962306,0.996189,0.958639,1
14,1789997591490810363,0.986699,0.997409,0.000000,0
15,1789997591491027471,0.990929,0.997468,0.000000,0
16,1789997591491244812,0.985918,0.997435,0.000000,0
17,1789997591491437650,0.984900,0.997469,0.982408,1
18,1789997591491634624,0.984334,0.997389,0.000000,0
19,1789997591491855091,0.997507,0.987347,0.984885,1
20,1789997591492090074,0.981401,0.996853,0.000000,0
21,1789997591492286737,0.979749,0.996757,0.976572,1
22,1789997591492530739,0.980976,0.996905,0.977940,1
23,1789997591492719253,0.986392,0.997274,0.000000,0
24,1789997591492924306,0.937090,0.993637,0.000000,0
25,1789997591493131233,0.981625,0.997182,0.000000,0
26,1789997591493331074,0.981741,0.997033,0.000000,0
27,1789997591493624273,0.997425,0.987503,0.984960,1
28,1789997591493897347,0.954734,0.995434,0.950375,1
29,1789997591494090605,0.958143,0.995917,0.954231,1
30,1789997591494342963,0.988966,0.997477,0.000000,0
31,1789997591494648220,0.992273,0.962996,0.000000,0
32,1789997591494946404,0.969719,0.992200,0.962155,1
33,1789997591495315207,0.825738,0.983180,0.000000,0
34,1789997591495649892,0.907816,0.984618,0.000000,0
35,1789997591495876628,0.970215,0.996855,0.967163,1
36,1789997591496061488,0.950480,0.996009,0.946687,1
37,1789997591496343512,0.846048,0.991502,0.838859,1
38,1789997591496581966,0.980470,0.996808,0.000000,0
39,1789997591496800352,0.986309,0.997243,0.983589,1
40,1789997591497016152,0.983959,0.997140,0.981145,1
41,1789997591497261676,0.988186,0.997344,0.985561,1
42,1789997591497520446,0.993914,0.978409,0.972454,1
43,1789997591497758666,0.987899,0.997279,0.000000,0
44,1789997591497986001,0.957708,0.995545,0.000000,0
45,1789997591498161106,0.984091,0.997216,0.000000,0
46,1789997591498349400,0.986031,0.997417,0.983485,1
47,1789997591498550230,0.946874,0.995455,0.000000,0
48,1789997591498749105,0.990057,0.997534,0.987615,1
49,1789997591498960973,0.959918,0.995909,0.955992,1
50,1789997591499193808,0.931550,0.994803,0.926709,1
51,1789997591499497384,0.982408,0.997239,0.979695,1
52,1789997591499768377,0.941393,0.994503,0.936218,1
53,1789997591500059694,0.985590,0.997152,0.982783,1
54,1789997591500269059,0.989641,0.997473,0.987140,1
55,1789997591500507832,0.997233,0.988378,0.985643,1
56,1789997591500727990,0.997001,0.989671,0.986702,1
57,1789997591500932284,0.990543,0.997355,0.987923,1
58,1789997591501156175,0.997098,0.986794,0.983931,1
59,1789997591501356671,0.990117,0.997415,0.000000,0
60,1789997591501560515,0.986737,0.997316,0.984088,1
61,1789997591501804901,0.986769,0.997193,0.000000,0
62,1789997591502129359,0.953597,0.991699,0.000000,0
63,1789997591502449144,0.985366,0.997248,0.000000,0
64,1789997591502742105,0.889386,0.986609,0.000000,0
65,1789997591503110363,0.871852,0.984296,0.858160,1
66,1789997591503530694,0.899655,0.987620,0.000000,0
67,1789997591503792339,0.983559,0.996993,0.000000,0
68,1789997591504037022,0.928208,0.991819,0.000000,0
69,1789997591504335072,0.865817,0.954192,0.826156,1
70,1789997591504563789,0.985852,0.997297,0.000000,0
71,1789997591504757678,0.985820,0.996665,0.000000,0
72,1789997591504970773,0.911207,0.992477,0.000000,0
73,1789997591505159904,0.960889,0.996140,0.000000,0
74,1789997591505343673,0.981723,0.996935,0.000000,0
75,1789997591505607428,0.990548,0.997569,0.988140,1
76,1789997591505851817,0.952748,0.995992,0.948929,1
77,1789997591506123747,0.902869,0.988983,0.892922,1
