count_idx,delay_ns,ts_r1_ns,ts_r1_on_r2_ns,ts_r2_ns,ts_r2_on_r1_ns,r2_recv_r1_msg_ns,r2_recv_r1_msg_on_r1_ns,bits_r1,bits_r2_local,bits_final,w14,w56,w_final_raw
34,158421,1782212055938255984,1782212052157379385,1782212052157557136,1782212055938433735,1782212052157537806,1782212055938414405,2,2,0,1.000000000000,1.000000000000,1.000000000000
35,159488,1782212055938372895,1782212052157496296,1782212052157673843,1782212055938550442,1782212052157655784,1782212055938532383,3,1,2,1.000000000000,1.000000000000,1.000000000000
36,157915,1782212055938491495,1782212052157614896,1782212052157790531,1782212055938667130,1782212052157772811,1782212055938649410,3,1,2,1.000000000000,1.000000000000,1.000000000000
37,157772,1782212055938609016,1782212052157732417,1782212052157908089,1782212055938784688,1782212052157890189,1782212055938766788,1,2,3,1.000000000000,1.000000000000,1.000000000000
38,157389,1782212055938726727,1782212052157850128,1782212052158028116,1782212055938904715,1782212052158007517,1782212055938884116,3,3,0,1.000000000000,1.000000000000,1.000000000000
39,159956,1782212055938844007,1782212052157967408,1782212052158145424,1782212055939022023,1782212052158127364,1782212055939003963,3,2,1,1.000000000000,1.000000000000,1.000000000000
40,158393,1782212055938961198,1782212052158084599,1782212052158260922,1782212055939137521,1782212052158242992,1782212055939119591,2,1,3,1.000000000000,1.000000000000,1.000000000000
41,156740,1782212055939081319,1782212052158204720,1782212052158379349,1782212055939255948,1782212052158361460,1782212055939238059,3,3,0,1.000000000000,1.000000000000,1.000000000000
42,157417,1782212055939198669,1782212052158322070,1782212052158499807,1782212055939376406,1782212052158479487,1782212055939356086,0,2,2,1.000000000000,1.000000000000,1.000000000000
43,158503,1782212055939317371,1782212052158440772,1782212052158618085,1782212055939494684,1782212052158599275,1782212055939475874,2,3,1,1.000000000000,1.000000000000,1.000000000000
44,157330,1782212055939435422,1782212052158558823,1782212052158734112,1782212055939610711,1782212052158716153,1782212055939592752,3,1,2,1.000000000000,1.000000000000,1.000000000000
45,158377,1782212055939552612,1782212052158676013,1782212052158852260,1782212055939728859,1782212052158834390,1782212055939710989,1,1,0,1.000000000000,1.000000000000,1.000000000000
46,157674,1782212055939670393,1782212052158793794,1782212052158971758,1782212055939848357,1782212052158951468,1782212055939828067,3,2,1,1.000000000000,1.000000000000,1.000000000000
47,156902,1782212055939787963,1782212052158911364,1782212052159086545,1782212055939963144,1782212052159068266,1782212055939944865,1,0,1,1.000000000000,1.000000000000,1.000000000000
48,237828,1782212055939905304,1782212052159028705,1782212052159284452,1782212055940161051,1782212052159266533,1782212055940143132,0,2,2,1.000000000000,1.000000000000,1.000000000000
49,156754,1782212055940104065,1782212052159227466,1782212052159408010,1782212055940284609,1782212052159384220,1782212055940260819,3,1,2,1.000000000000,1.000000000000,1.000000000000
50,162431,1782212055940221576,1782212052159344977,1782212052159528438,1782212055940405037,1782212052159507408,1782212055940384007,2,0,2,1.000000000000,1.000000000000,1.000000000000
51,155809,1782212055940342806,1782212052159466207,1782212052159640495,1782212055940517094,1782212052159622016,1782212055940498615,1,3,2,1.000000000000,1.000000000000,1.000000000000
52,155855,1782212055940460387,1782212052159583788,1782212052159757793,1782212055940634392,1782212052159739643,1782212055940616242,0,1,1,1.000000000000,1.000000000000,1.000000000000
53,156141,1782212055940576929,1782212052159700330,1782212052159874541,1782212055940751140,1782212052159856471,1782212055940733070,0,3,3,1.000000000000,1.000000000000,1.000000000000
54,155819,1782212055940697539,1782212052159820940,1782212052159995328,1782212055940871927,1782212052159976759,1782212055940853358,1,0,1,1.000000000000,1.000000000000,1.000000000000
55,155755,1782212055940814750,1782212052159938151,1782212052160111866,1782212055940988465,1782212052160093906,1782212055940970505,0,2,2,1.000000000000,1.000000000000,1.000000000000
56,156302,1782212055940931411,1782212052160054812,1782212052160228564,1782212055941105163,1782212052160211114,1782212055941087713,1,2,3,1.000000000000,1.000000000000,1.000000000000
57,155710,1782212055941049311,1782212052160172712,1782212052160348521,1782212055941225120,1782212052160328422,1782212055941205021,1,3,2,1.000000000000,1.000000000000,1.000000000000
58,161216,1782212055941165892,1782212052160289293,1782212052160469919,1782212055941346518,1782212052160450509,1782212055941327108,1,0,1,1.000000000000,1.000000000000,1.000000000000
59,162453,1782212055941280083,1782212052160403484,1782212052160583887,1782212055941460486,1782212052160565937,1782212055941442536,0,1,1,1.000000000000,1.000000000000,1.000000000000
60,154581,1782212055941398113,1782212052160521514,1782212052160693974,1782212055941570573,1782212052160676095,1782212055941552694,3,1,2,1.000000000000,1.000000000000,1.000000000000
61,157237,1782212055941514964,1782212052160638365,1782212052160815592,1782212055941692191,1782212052160795602,1782212055941672201,2,3,1,1.000000000000,1.000000000000,1.000000000000
62,156024,1782212055941635505,1782212052160758906,1782212052160933010,1782212055941809609,1782212052160914930,1782212055941791529,2,0,2,1.000000000000,1.000000000000,1.000000000000
63,155011,1782212055941752296,1782212052160875697,1782212052161048617,1782212055941925216,1782212052161030708,1782212055941907307,1,2,3,1.000000000000,1.000000000000,1.000000000000
64,155737,1782212055941868547,1782212052160991948,1782212052161166425,1782212055942043024,1782212052161147685,1782212055942024284,2,1,3,1.000000000000,1.000000000000,1.000000000000
65,154965,1782212055941985017,1782212052161108418,1782212052161284583,1782212055942161182,1782212052161263383,1782212055942139982,0,2,2,1.000000000000,1.000000000000,1.000000000000
66,158752,1782212055942101488,1782212052161224889,1782212052161407600,1782212055942284199,1782212052161383641,1782212055942260240,1,3,2,1.000000000000,1.000000000000,1.000000000000
67,154629,1782212055942218089,1782212052161341490,1782212052161515048,1782212055942391647,1782212052161496119,1782212055942372718,1,2,3,1.000000000000,1.000000000000,1.000000000000
68,154766,1782212055942334849,1782212052161458250,1782212052161631136,1782212055942507735,1782212052161613016,1782212055942489615,0,1,1,1.000000000000,1.000000000000,1.000000000000
69,158393,1782212055942451440,1782212052161574841,1782212052161753863,1782212055942630462,1782212052161733234,1782212055942609833,2,2,0,1.000000000000,1.000000000000,1.000000000000
70,155690,1782212055942571171,1782212052161694572,1782212052161868771,1782212055942745370,1782212052161850262,1782212055942726861,0,0,0,1.000000000000,1.000000000000,1.000000000000
71,155187,1782212055942688501,1782212052161811902,1782212052161985069,1782212055942861668,1782212052161967089,1782212055942843688,3,0,3,1.000000000000,1.000000000000,1.000000000000
72,155194,1782212055942805232,1782212052161928633,1782212052162101477,1782212055942978076,1782212052162083827,1782212055942960426,0,3,3,1.000000000000,1.000000000000,1.000000000000
73,155990,1782212055942921894,1782212052162045295,1782212052162221414,1782212055943098013,1782212052162201285,1782212055943077884,1,0,1,1.000000000000,1.000000000000,1.000000000000
74,155248,1782212055943039184,1782212052162162585,1782212052162335933,1782212055943212532,1782212052162317833,1782212055943194432,2,2,0,1.000000000000,1.000000000000,1.000000000000
