round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997641924769999,0.551306,0.975027,0.000000,0
1,1789997641925783036,0.967082,0.993413,0.960712,1
2,1789997641926747189,0.969820,0.993089,0.000000,0
3,1789997641927696646,0.764230,0.982881,0.000000,0
4,1789997641928413933,0.803084,0.984682,0.000000,0
5,1789997641929562444,0.975707,0.995054,0.970881,1
6,1789997641930323869,0.996164,0.980799,0.000000,0
7,1789997641931145704,0.994059,0.921587,0.916112,1
8,1789997641931661361,0.994614,0.941612,0.000000,0
9,1789997641932049729,0.992181,0.870715,0.000000,0
10,1789997641933641224,0.985538,0.997283,0.982860,1
11,1789997641934324632,0.976074,0.986570,0.000000,0
12,1789997641935521951,0.982289,0.996966,0.000000,0
13,1789997641937491085,0.984554,0.997177,0.000000,0
14,1789997641938305259,0.967911,0.993418,0.000000,0
15,1789997641938690045,0.942473,0.992068,0.000000,0
16,1789997641939220784,0.996876,0.978483,0.000000,0
17,1789997641939618351,0.986518,0.997433,0.000000,0
18,1789997641940124050,0.987040,0.997658,0.984728,1
19,1789997641940524648,0.997352,0.987372,0.984757,1
20,1789997641941237342,0.997725,0.987943,0.000000,0
