count_idx,delay_ns,delay_center_ns,delay_centered_ns,clock_offset_ns,clock_sync_path_delay_ns,loop_gap_ns,recv_block_ns
1126,1276738,0,1276738,0,0,2260,1130
1127,1362282,0,1362282,0,0,2281,87565
1128,1362234,0,1362234,0,0,92296,2207
1129,1360541,0,1360541,0,0,3953,1716
1130,1359040,0,1359040,0,0,3377,1854
1131,1357693,0,1357693,0,0,3714,1956
1132,1492124,0,1492124,0,0,8500,129350
1133,1365821,0,1365821,0,0,138914,3080
1134,1360587,0,1360587,0,0,6060,1793
1135,1358993,0,1358993,0,0,4051,1703
1136,1354187,0,1354187,0,0,3687,2250
1137,1353045,0,1353045,0,0,4225,2194
1138,1352090,0,1352090,0,0,4286,2081
1139,1350408,0,1350408,0,0,4311,1655
1140,1349087,0,1349087,0,0,3702,1931
1141,1412816,0,1412816,0,0,4179,64856
1142,1414233,0,1414233,0,0,73264,1804
1143,1408537,0,1408537,0,0,3223,1100
1144,1403626,0,1403626,0,0,2217,1021
1145,1400702,0,1400702,0,0,2113,1093
1146,1398281,0,1398281,0,0,2189,1456
1147,1495796,0,1495796,0,0,2550,98595
1148,1264071,0,1264071,0,0,104746,2220
1149,1293948,0,1293948,0,0,4122,41316
1150,1290759,0,1290759,0,0,45641,1835
1151,1288581,0,1288581,0,0,6479,1202
1152,1283234,0,1283234,0,0,2461,1071
1153,1279336,0,1279336,0,0,2618,1648
1154,1275244,0,1275244,0,0,3618,1822
1155,1270439,0,1270439,0,0,3631,1427
1156,1266135,0,1266135,0,0,3189,1669
1157,1293270,0,1293270,0,0,3539,31873
1158,1291486,0,1291486,0,0,37345,1890
1159,1438391,0,1438391,0,0,3479,148821
1160,1360992,0,1360992,0,0,153550,1899
1161,1352659,0,1352659,0,0,7021,1535
1162,1346954,0,1346954,0,0,3192,1107
1163,1340396,0,1340396,0,0,2251,983
1164,1329400,0,1329400,0,0,2190,1854
1165,1383589,0,1383589,0,0,3584,56746
1166,1384175,0,1384175,0,0,65881,3246
1167,1382779,0,1382779,0,0,6297,1809
1168,1380905,0,1380905,0,0,4079,1706
1169,1379572,0,1379572,0,0,3890,2398
1170,1385139,0,1385139,0,0,11105,1929
1171,1384066,0,1384066,0,0,4099,1842
1172,1467869,0,1467869,0,0,4016,85519
1173,1465735,0,1465735,0,0,90314,2389
1174,1460726,0,1460726,0,0,4205,1135
1175,1347996,0,1347996,0,0,2440,1404
1176,1435338,0,1435338,0,0,2681,91716
1177,1445558,0,1445558,0,0,106214,6608
1178,1444607,0,1444607,0,0,12974,2202
1179,1469825,0,1469825,0,0,4456,2220
1180,1468636,0,1468636,0,0,33671,1797
1181,1467797,0,1467797,0,0,4124,1928
1182,1466367,0,1466367,0,0,4099,1911
1183,1465591,0,1465591,0,0,4191,1954
1184,1464382,0,1464382,0,0,4167,1630
1185,1463431,0,1463431,0,0,3802,1874
1186,1461855,0,1461855,0,0,4201,2032
1187,1500109,0,1500109,0,0,4316,42061
1188,1497135,0,1497135,0,0,47851,1563
1189,1307253,0,1307253,0,0,5898,1256
1190,1468338,0,1468338,0,0,2401,163875
1191,1472624,0,1472624,0,0,173758,3816
1192,1471123,0,1471123,0,0,6503,1738
1193,1467346,0,1467346,0,0,3591,2505
1194,1465719,0,1465719,0,0,4503,1613
1195,1462692,0,1462692,0,0,4187,1178
1196,1459632,0,1459632,0,0,2338,970
1197,1456009,0,1456009,0,0,2063,1084
1198,1455472,0,1455472,0,0,2190,982
1199,1449536,0,1449536,0,0,7389,1171
1200,1492343,0,1492343,0,0,2273,48905
1201,1488677,0,1488677,0,0,52682,1915
1202,1485936,0,1485936,0,0,3594,1374
1203,1483136,0,1483136,0,0,2690,1037
1204,1480321,0,1480321,0,0,2265,1037
1205,1477628,0,1477628,0,0,2150,1188
1206,1621927,0,1621927,0,0,2272,141416
1207,1434125,0,1434125,0,0,157274,2940
1208,1490097,0,1490097,0,0,67998,3654
1209,1488378,0,1488378,0,0,8844,2447
1210,1487836,0,1487836,0,0,5677,1938
1211,1486510,0,1486510,0,0,4109,1674
1212,1485394,0,1485394,0,0,4000,1976
1213,1483967,0,1483967,0,0,3753,1886
1214,1481639,0,1481639,0,0,3843,1657
1215,1477666,0,1477666,0,0,3691,1725
1216,1473978,0,1473978,0,0,3719,1611
1217,1474853,0,1474853,0,0,3472,1598
1218,1522292,0,1522292,0,0,6484,3756
1219,1520607,0,1520607,0,0,56721,1845
1220,1517000,0,1517000,0,0,4682,1627
1221,1509876,0,1509876,0,0,3899,2202
1222,1367517,0,1367517,0,0,4445,2399
1223,1236367,0,1236367,0,0,4615,1701
1224,1234335,0,1234335,0,0,3906,1818
1225,1275514,0,1275514,0,0,4085,41324
1226,1277587,0,1277587,0,0,48825,2878
1227,1276562,0,1276562,0,0,10306,1709
1228,1268601,0,1268601,0,0,3893,2171
1229,1336221,0,1336221,0,0,4337,67709
1230,1340967,0,1340967,0,0,76210,3309
1231,1340206,0,1340206,0,0,6619,1649
1232,1338379,0,1338379,0,0,4167,1808
1233,1337634,0,1337634,0,0,4074,2342
1234,1308257,0,1308257,0,0,4381,92506
1235,1300428,0,1300428,0,0,98446,2033
1236,1296769,0,1296769,0,0,3569,1147
1237,1292155,0,1292155,0,0,5193,1313
