round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
117,1789997582045137171,0.969092,0.993857,0.963139,1
118,1789997582045487753,0.997439,0.986597,0.984070,1
119,1789997582045752233,0.988960,0.997489,0.986477,1
120,1789997582045972754,0.997222,0.988615,0.000000,0
121,1789997582046196649,0.997521,0.990795,0.988339,1
122,1789997582046422047,0.997320,0.990475,0.987820,1
123,1789997582046627564,0.982364,0.996927,0.979345,1
124,1789997582046887921,0.997558,0.990910,0.000000,0
125,1789997582047140172,0.997342,0.988096,0.985470,1
126,1789997582047356486,0.997248,0.990206,0.987481,1
127,1789997582047558894,0.989007,0.997533,0.986567,1
128,1789997582047757931,0.989710,0.997520,0.987256,1
129,1789997582047966546,0.997728,0.990660,0.988409,1
130,1789997582048178081,0.997474,0.990591,0.988089,1
131,1789997582048412802,0.997439,0.989090,0.986557,1
132,1789997582048622435,0.988356,0.997324,0.985711,1
133,1789997582048828881,0.997493,0.989883,0.987401,1
134,1789997582049031261,0.997504,0.990683,0.988210,1
135,1789997582049228849,0.997423,0.989372,0.986823,1
136,1789997582049427615,0.997493,0.990067,0.987585,1
137,1789997582049625967,0.997521,0.989453,0.987000,1
138,1789997582049825884,0.997382,0.990666,0.988073,1
139,1789997582050022947,0.989617,0.997350,0.986994,1
140,1789997582050217423,0.997483,0.990215,0.987723,1
141,1789997582050414064,0.997562,0.989820,0.987407,1
142,1789997582050619964,0.997581,0.990733,0.000000,0
143,1789997582050811543,0.984671,0.997355,0.000000,0
144,1789997582051004243,0.997316,0.990027,0.987369,1
145,1789997582051199470,0.997415,0.989704,0.987146,1
146,1789997582051404121,0.997670,0.989945,0.987638,1
147,1789997582051844555,0.992807,0.970791,0.963808,1
148,1789997582052312667,0.961983,0.976610,0.939483,1
149,1789997582052570402,0.997080,0.986753,0.983871,1
150,1789997582052821469,0.997507,0.986999,0.000000,0
151,1789997582053052050,0.997335,0.989737,0.000000,0
152,1789997582053256183,0.989182,0.997524,0.986733,1
153,1789997582053466316,0.977642,0.997255,0.974958,1
154,1789997582053717218,0.997430,0.988225,0.985685,1
155,1789997582053958651,0.997101,0.987035,0.984174,1
156,1789997582054162307,0.988914,0.997229,0.986173,1
157,1789997582054365374,0.997400,0.990175,0.000000,0
158,1789997582054565698,0.997592,0.990279,0.000000,0
159,1789997582054774030,0.989319,0.997432,0.986779,1
160,1789997582054975883,0.997588,0.990099,0.000000,0
161,1789997582055217692,0.989277,0.997354,0.986659,1
162,1789997582055433992,0.997187,0.988428,0.000000,0
163,1789997582055630284,0.985512,0.997237,0.000000,0
164,1789997582055827498,0.997755,0.990790,0.000000,0
165,1789997582056027923,0.997554,0.990689,0.000000,0
166,1789997582056237555,0.989444,0.997569,0.000000,0
167,1789997582056445015,0.997405,0.988465,0.985900,1
168,1789997582056664591,0.988531,0.997284,0.985846,1
169,1789997582056880103,0.997679,0.990869,0.988569,1
170,1789997582057093989,0.997353,0.989525,0.986905,1
171,1789997582057287915,0.989842,0.997570,0.000000,0
172,1789997582057469567,0.982859,0.997203,0.980109,1
173,1789997582057672754,0.997675,0.990739,0.988435,1
174,1789997582057894549,0.997433,0.990181,0.000000,0
175,1789997582058093286,0.997673,0.990926,0.000000,0
