round,ts_swap_ns,werner_a,werner_b,werner_result,pswap_success_bit
0,1789997601954272742,0.972121,0.996576,0.000000,0
1,1789997601954908384,0.997130,0.979574,0.000000,0
2,1789997601955592414,0.829411,0.987993,0.000000,0
3,1789997601955914054,0.997361,0.988430,0.985822,1
4,1789997601956353736,0.792988,0.987711,0.783243,1
5,1789997601956748397,0.997093,0.983867,0.981007,1
6,1789997601957051904,0.996672,0.975089,0.971843,1
7,1789997601957580958,0.992031,0.760222,0.754164,1
8,1789997601957859017,0.997364,0.989284,0.000000,0
9,1789997601958178651,0.906654,0.991136,0.898617,1
10,1789997601958431542,0.988478,0.997534,0.986040,1
11,1789997601958740077,0.988460,0.997401,0.985891,1
12,1789997601959132311,0.871295,0.989787,0.862396,1
13,1789997601959461012,0.986728,0.997444,0.984206,1
14,1789997601960011618,0.987478,0.997457,0.984967,1
15,1789997601960345331,0.980266,0.997159,0.977481,1
16,1789997601960596769,0.982129,0.996935,0.000000,0
17,1789997601960783780,0.980650,0.996907,0.000000,0
18,1789997601960957585,0.985238,0.997539,0.982813,1
19,1789997601961157185,0.985619,0.997335,0.000000,0
20,1789997601961397705,0.926446,0.991829,0.918876,1
21,1789997601961605065,0.985849,0.997181,0.983070,1
22,1789997601963145822,0.911105,0.990027,0.902019,1
23,1789997601963374426,0.982140,0.997228,0.979418,1
24,1789997601963619321,0.985243,0.997057,0.000000,0
25,1789997601963888481,0.978581,0.996029,0.974695,1
26,1789997601964109441,0.983707,0.997191,0.980944,1
27,1789997601964273672,0.985984,0.997317,0.000000,0
28,1789997601964483916,0.988274,0.996934,0.985244,1
29,1789997601964700078,0.984347,0.997487,0.981873,1
30,1789997601964912583,0.984482,0.997174,0.000000,0
31,1789997601965121511,0.984691,0.997097,0.000000,0
32,1789997601965325632,0.989134,0.997418,0.000000,0
33,1789997601965533084,0.982000,0.997148,0.979199,1
34,1789997601965757856,0.983654,0.997123,0.980824,1
35,1789997601965933285,0.985028,0.997256,0.982325,1
36,1789997601966185105,0.903042,0.991661,0.000000,0
37,1789997601966421247,0.997211,0.983455,0.980712,1
38,1789997601966721344,0.943970,0.996512,0.000000,0
39,1789997601967194017,0.996713,0.980606,0.000000,0
40,1789997601967449128,0.997036,0.980383,0.977478,1
41,1789997601967831156,0.997337,0.985148,0.000000,0
42,1789997601968634275,0.773684,0.991588,0.767175,1
43,1789997601969051639,0.938413,0.989767,0.928810,1
44,1789997601969335961,0.973259,0.996442,0.969797,1
45,1789997601969656172,0.986424,0.997401,0.000000,0
46,1789997601969909794,0.978453,0.996646,0.000000,0
47,1789997601970114478,0.981777,0.996863,0.978697,1
48,1789997601970358816,0.904798,0.994548,0.899865,1
49,1789997601970589605,0.945089,0.995198,0.000000,0
50,1789997601970781790,0.981499,0.996995,0.000000,0
51,1789997601970947574,0.983379,0.997184,0.000000,0
52,1789997601971147598,0.984198,0.997053,0.000000,0
53,1789997601971353327,0.939984,0.992760,0.000000,0
54,1789997601971538007,0.997454,0.988578,0.986061,1
55,1789997601971772069,0.997453,0.989219,0.000000,0
56,1789997601971991034,0.997622,0.990623,0.988267,1
57,1789997601972212377,0.983313,0.997112,0.980473,1
58,1789997601972425813,0.990119,0.997470,0.000000,0
59,1789997601972647699,0.983249,0.997180,0.980476,1
60,1789997601972805419,0.987383,0.997337,0.984753,1
61,1789997601972987081,0.982581,0.997132,0.000000,0
62,1789997601973188534,0.949448,0.993549,0.943324,1
63,1789997601973377715,0.989277,0.997538,0.986841,1
64,1789997601973645080,0.990181,0.997624,0.987828,1
65,1789997601973970418,0.987034,0.997302,0.984370,1
66,1789997601974199510,0.997578,0.990809,0.000000,0
67,1789997601974428139,0.982982,0.997189,0.000000,0
68,1789997601974601759,0.984289,0.997151,0.981485,1
69,1789997601974858323,0.918849,0.994235,0.000000,0
70,1789997601975066946,0.988016,0.997408,0.985456,1
71,1789997601975293333,0.997525,0.990531,0.988080,1
72,1789997601975515453,0.992159,0.810468,0.804113,1
73,1789997601975726862,0.990421,0.997570,0.000000,0
74,1789997601975952494,0.997685,0.994210,0.991908,1
75,1789997601976139636,0.990578,0.997512,0.000000,0
76,1789997601976413916,0.992760,0.769164,0.763596,1
77,1789997601976600443,0.992410,0.841875,0.835485,1
78,1789997601976818894,0.990227,0.997619,0.987869,1
79,1789997601977058381,0.989464,0.997618,0.987107,1
80,1789997601977285862,0.997801,0.991216,0.000000,0
81,1789997601977503772,0.997663,0.989724,0.987411,1
82,1789997601977723201,0.989747,0.997622,0.987393,1
83,1789997601977978726,0.989793,0.997666,0.987483,1
84,1789997601978258988,0.988815,0.997489,0.986332,1
85,1789997601978487261,0.997275,0.988830,0.986135,1
86,1789997601978719174,0.996238,0.987780,0.000000,0
87,1789997601978917255,0.997483,0.988998,0.986509,1
88,1789997601979113693,0.993197,0.831512,0.825855,1
89,1789997601979294720,0.997667,0.988219,0.000000,0
90,1789997601979482799,0.997807,0.994215,0.992035,1
