sample_idx,t1_ns,t2_ns,t3_ns,t4_ns,master_to_slave_ns,slave_to_master_ns,offset_ns,path_delay_ns,used_for_offset,used_for_best_path,clock_sync_method,clock_offset_final_ns,clock_offset_mean_ns,clock_offset_median_ns,clock_offset_best_path_median_ns,clock_offset_std_ns,clock_offset_mad_ns,clock_sync_path_delay_final_ns,clock_sync_path_delay_mean_ns,clock_sync_path_delay_min_ns,clock_sync_path_delay_median_ns,clock_sync_path_delay_p95_ns,clock_sync_path_delay_best_median_ns,clock_sync_negative_or_suspicious,sync_quality
1,1780651151417361189,1780651151417401309,1780651151417401339,1780651151417435581,40120,34242,-2939,37181,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
2,1780651151417446245,1780651151417484197,1780651151417484236,1780651151417503690,37952,19454,-9249,28703,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
3,1780651151417514212,1780651151417522249,1780651151417522278,1780651151417536727,8037,14449,3206,11243,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
4,1780651151417546853,1780651151417558223,1780651151417558263,1780651151417572965,11370,14702,1666,13036,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
5,1780651151417582979,1780651151417589659,1780651151417589687,1780651151417630442,6680,40755,17037,23717,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
6,1780651151417640687,1780651151417690953,1780651151417690986,1780651151417708355,50266,17369,-16448,33817,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
7,1780651151417718351,1780651151417725386,1780651151417725415,1780651151417739984,7035,14569,3767,10802,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
8,1780651151417749887,1780651151417756455,1780651151417756483,1780651151417770482,6568,13999,3715,10283,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
9,1780651151417780414,1780651151417787034,1780651151417787063,1780651151417801445,6620,14382,3881,10501,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
10,1780651151417811616,1780651151417822618,1780651151417822647,1780651151417837054,11002,14407,1702,12704,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
11,1780651151417847116,1780651151417853738,1780651151417853767,1780651151417867716,6622,13949,3663,10285,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
12,1780651151417877768,1780651151417884471,1780651151417884501,1780651151417898366,6703,13865,3581,10284,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
13,1780651151417908372,1780651151417914803,1780651151417914832,1780651151417928672,6431,13840,3704,10135,0,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
14,1780651151417938798,1780651151417948031,1780651151417948060,1780651151417962121,9233,14061,2414,11647,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
15,1780651151417972117,1780651151417978552,1780651151417978583,1780651151417992696,6435,14113,3839,10274,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
16,1780651151418002570,1780651151418009000,1780651151418009029,1780651151418025106,6430,16077,4823,11253,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
17,1780651151418038710,1780651151418045150,1780651151418045179,1780651151418060848,6440,15669,4614,11054,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
18,1780651151418072566,1780651151418078816,1780651151418078846,1780651151418093117,6250,14271,4010,10260,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
19,1780651151418103213,1780651151418108678,1780651151418108707,1780651151418122810,5465,14103,4319,9784,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
20,1780651151418132653,1780651151418139091,1780651151418139120,1780651151418153200,6438,14080,3821,10259,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
21,1780651151418163225,1780651151418173098,1780651151418173127,1780651151418187767,9873,14640,2383,12256,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
22,1780651151418197834,1780651151418203831,1780651151418203860,1780651151418217912,5997,14052,4027,10024,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
23,1780651151418228033,1780651151418233715,1780651151418233743,1780651151418247526,5682,13783,4050,9732,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
24,1780651151418257393,1780651151418263157,1780651151418263186,1780651151418276888,5764,13702,3969,9733,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
25,1780651151418286693,1780651151418292452,1780651151418292482,1780651151418306282,5759,13800,4020,9779,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
26,1780651151418316281,1780651151418321998,1780651151418322027,1780651151418335907,5717,13880,4081,9798,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
27,1780651151418345778,1780651151418351393,1780651151418351421,1780651151418365234,5615,13813,4099,9714,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
28,1780651151418375090,1780651151418380740,1780651151418380769,1780651151418394613,5650,13844,4097,9747,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
29,1780651151418404272,1780651151418410059,1780651151418410087,1780651151418423847,5787,13760,3986,9773,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
30,1780651151418433742,1780651151418439475,1780651151418439505,1780651151418453371,5733,13866,4066,9799,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
31,1780651151418463091,1780651151418468875,1780651151418468904,1780651151418482681,5784,13777,3996,9780,1,0,best-path-median,3805,3272,4032,3805,4901.693626,149,9275,10753,8549,9381,14685,9275,0,ok
